lambda_nm,lambda_err_nm,h,h_err
531.13,14.294085898847396,6.2005486931305514e-34,1.6687284777661603e-35
559.7,49.4008025137526,7.673046429780499e-34,6.772461164131514e-35
592.22,6.866766755328665,6.18521093073654e-34,7.171726857228248e-36
727.27,12.61667534327854,5.896599013874412e-34,1.0229416226098954e-35
638.7,7.677869074603709,5.917897930261321e-34,7.113957336059916e-36
458.14,8.446505303864344,6.144703804625576e-34,1.1328692818013125e-35
369.91,4.344281008473201,5.890207270481443e-34,6.917551723695845e-36
369.91,29.237585298656285,5.880914648758672e-34,4.648258865053632e-35
592.22,64.97332622170732,5.95017838361748e-34,6.528028117863794e-35
637.91,74.17387937935045,6.176943866467073e-34,7.182328060139318e-35
